,City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloud Cover (%),Wind Speed (mph),Date
0,Riyadh,SA,24.6877,46.7219,86.0,23,0,4.61,1616150736
1,Chokurdakh,RU,70.6333,147.9167,-23.15,76,18,8.3,1616150738
2,Rikitea,PF,-23.1203,-134.9692,80.4,77,100,15.86,1616150536
3,Busselton,AU,-33.65,115.3333,74.14,50,93,4.32,1616150740
4,Albany,US,42.6001,-73.9662,24.01,32,82,4.0,1616150618
5,Comodoro Rivadavia,AR,-45.8667,-67.5,59.0,36,0,18.41,1616150742
6,Port-Gentil,GA,-0.7193,8.7815,86.0,70,40,11.5,1616150744
7,Ushuaia,AR,-54.8,-68.3,46.4,66,75,5.75,1616150538
8,Arraial do Cabo,BR,-22.9661,-42.0278,75.2,94,0,4.61,1616150746
9,Leningradskiy,RU,69.3833,178.4167,-21.77,86,0,0.92,1616150748
10,Samarai,PG,-10.6167,150.6667,83.34,76,8,8.21,1616150749
11,Hilo,US,19.7297,-155.09,66.2,88,90,3.44,1616150541
12,Iroquois Falls,CA,48.7669,-80.6831,6.8,78,20,5.75,1616150753
13,Lorengau,PG,-2.0226,147.2712,81.68,75,29,3.44,1616150754
14,Punta Arenas,CL,-53.15,-70.9167,48.2,87,90,6.91,1616150755
15,Hong Kong,HK,22.2855,114.1577,77.0,81,32,1.01,1616150668
16,Lagoa,PT,39.05,-27.9833,59.05,79,82,15.73,1616150718
17,Nikolskoye,RU,59.7035,30.7861,23.0,63,75,8.95,1616150759
18,Castro,BR,-24.7911,-50.0119,64.63,91,90,9.28,1616150651
19,Touros,BR,-5.1989,-35.4608,77.0,88,40,3.44,1616150761
20,Ocean City,US,39.2776,-74.5746,37.0,80,90,16.11,1616150763
21,Hammerfest,NO,70.6634,23.6821,28.4,80,75,25.32,1616150764
22,Voyvozh,RU,62.892,54.9635,28.96,92,100,4.43,1616150765
23,Avarua,CK,-21.2078,-159.775,77.0,94,75,6.91,1616150768
24,Coyhaique,CL,-45.5752,-72.0662,42.26,97,57,7.52,1616150769
25,Cloquet,US,46.7216,-92.4594,24.8,93,1,3.44,1616150551
26,Yarega,RU,63.4354,53.5765,24.58,93,98,7.85,1616150772
27,Bluff,NZ,-46.6,168.3333,54.0,93,71,4.0,1616150773
28,Saint Paul Harbor,US,57.79,-152.4072,21.2,42,1,13.8,1616150759
29,Salalah,OM,17.0151,54.0924,87.8,35,0,12.66,1616150775
30,Port Alfred,ZA,-33.5906,26.891,72.75,67,98,15.32,1616150585
31,Vaini,TO,-21.2,-175.2,77.0,94,75,3.44,1616150778
32,Avera,US,33.194,-82.5271,48.2,71,1,10.36,1616150779
33,Saint George,US,37.1041,-113.5841,50.0,57,20,3.44,1616150520
34,Gualeguay,AR,-33.1416,-59.3097,59.68,54,97,6.67,1616150782
35,Hermanus,ZA,-34.4187,19.2345,71.01,60,99,3.0,1616150783
36,Cherskiy,RU,68.75,161.3,-29.11,100,0,2.98,1616150784
37,Jamestown,US,42.097,-79.2353,24.01,58,1,16.24,1616150525
38,Quatre Cocos,MU,-20.2078,57.7625,86.0,62,40,12.66,1616150787
39,Cape Town,ZA,-33.9258,18.4232,72.0,53,20,17.27,1616150630
40,Vanderhoof,CA,54.0166,-124.0198,30.43,87,100,4.32,1616150534
41,Kapaa,US,22.0752,-159.319,70.0,73,90,21.85,1616150791
42,Presidente Médici,BR,-11.1753,-61.9014,71.78,98,95,1.88,1616150793
43,Mataura,NZ,-46.1927,168.8643,54.0,93,39,4.0,1616150794
44,Prince Albert,CA,53.2001,-105.7677,21.2,93,1,6.91,1616150795
45,Atuona,PF,-9.8,-139.0333,79.56,80,3,13.18,1616150539
46,Kaitangata,NZ,-46.2817,169.8464,47.79,94,53,5.93,1616150798
47,East London,ZA,-33.0153,27.9116,73.4,64,20,19.57,1616150799
48,Vincennes,FR,48.85,2.4333,44.6,65,20,16.11,1616150802
49,Ponta do Sol,PT,32.6667,-17.1,62.6,59,20,18.41,1616150803
50,Sola,VU,-13.8833,167.55,82.02,77,61,11.3,1616150804
51,Lebu,CL,-37.6167,-73.65,51.73,89,0,3.85,1616150806
52,Caraballeda,VE,10.6112,-66.8522,61.0,83,96,7.27,1616150807
53,Labuhan,ID,-6.8844,112.2051,81.39,82,30,10.78,1616150809
54,Ajjampur,IN,13.7281,76.0094,94.62,13,44,10.13,1616150811
55,Chapais,CA,49.7834,-74.8492,-5.8,84,1,3.44,1616150642
56,Geraldton,AU,-28.7667,114.6,86.0,28,1,12.66,1616150813
57,Nanortalik,GL,60.1432,-45.2371,26.17,74,49,6.85,1616150579
58,Bredasdorp,ZA,-34.5322,20.0403,71.6,46,100,8.05,1616150816
59,Butaritari,KI,3.0707,172.7902,81.36,78,25,7.99,1616150817
60,Pangkalanbuun,ID,-2.6833,111.6167,78.6,89,73,5.01,1616150818
61,Pevek,RU,69.7008,170.3133,-20.67,87,64,1.52,1616150768
62,Havøysund,NO,70.9963,24.6622,28.4,86,75,36.82,1616150821
63,Hobart,AU,-42.8794,147.3294,61.0,77,20,6.91,1616150822
64,Codrington,AU,-38.2667,141.9667,64.36,78,0,10.94,1616150684
65,Arlit,NE,18.7369,7.3853,97.09,7,0,5.39,1616150826
66,Qaanaaq,GL,77.484,-69.3632,-9.92,77,100,5.08,1616150827
67,Arica,CL,-18.475,-70.3042,64.4,82,0,3.44,1616150829
68,Lüderitz,NA,-26.6481,15.1594,72.36,55,44,20.49,1616150831
69,Keflavik,IS,64.0049,-22.5624,46.4,100,90,26.46,1616150833
70,Bonavista,CA,48.6499,-53.1147,37.99,100,100,10.36,1616150834
71,Beringovskiy,RU,63.05,179.3167,-7.67,99,100,10.42,1616150551
72,Norman Wells,CA,65.282,-126.8329,-0.4,78,40,17.27,1616150537
73,Vostok,RU,46.4856,135.8833,18.23,96,87,1.74,1616150762
74,Provideniya,RU,64.3833,-173.3,-9.65,93,0,9.13,1616150839
75,Bedelē,ET,8.456,36.353,81.52,33,42,5.86,1616150841
76,Nantucket,US,41.2835,-70.0995,32.0,100,90,24.16,1616150669
77,Longyearbyen,SJ,78.2186,15.6401,28.4,93,75,4.61,1616150610
78,Roald,NO,62.5833,6.1333,44.01,75,75,8.05,1616150844
79,Port Lincoln,AU,-34.7333,135.8667,68.76,71,0,12.3,1616150594
80,Bambous Virieux,MU,-20.3428,57.7575,86.0,62,40,12.66,1616150847
81,Puerto Ayora,EC,-0.7393,-90.3518,75.0,96,85,3.69,1616150596
82,Yellowknife,CA,62.456,-114.3525,12.2,85,20,9.22,1616150577
83,Chicama,PE,-7.8447,-79.1469,71.2,75,100,3.53,1616150723
84,Ponta Delgada,PT,37.7333,-25.6667,59.0,82,40,10.36,1616150851
85,Chancay,PE,-11.5714,-77.2672,71.01,83,0,5.75,1616150853
86,Kudahuvadhoo,MV,2.6708,72.8944,83.62,71,28,9.62,1616150854
87,Rosarito,MX,32.3333,-117.0333,50.0,81,1,9.75,1616150650
88,Bilibino,RU,68.0546,166.4372,-18.29,74,85,1.86,1616150856
89,Yar-Sale,RU,66.8333,70.8333,-8.7,93,38,10.38,1616150858
90,Karratha,AU,-20.7377,116.8463,86.18,46,39,18.37,1616150859
91,Chui,UY,-33.6971,-53.4616,59.27,73,3,3.85,1616150861
92,Hasaki,JP,35.7333,140.8333,51.8,76,75,6.91,1616150788
93,Neuquén,AR,-38.9516,-68.0591,50.0,76,0,2.3,1616150864
94,Nouadhibou,MR,20.931,-17.0347,64.76,63,0,14.45,1616150866
95,Kharan,PK,28.5833,65.4167,91.83,10,43,10.09,1616150867
96,Kotapārh,IN,19.15,82.35,93.07,19,82,5.53,1616150868
97,Gillette,US,44.2911,-105.5022,28.4,86,1,18.41,1616150869
98,Barvinkove,UA,48.9097,37.0205,37.87,64,99,6.44,1616150871
99,Faya,SA,18.3851,42.4509,82.4,11,20,10.36,1616150872
100,Basco,PH,20.4487,121.9702,76.17,81,4,14.25,1616150874
101,Mumbwa,ZM,-14.9783,27.0619,77.85,65,50,5.86,1616150875
102,Port Elizabeth,ZA,-33.918,25.5701,73.4,68,20,18.41,1616150876
103,Pangody,RU,65.85,74.4859,-0.96,94,96,10.65,1616150878
104,Gamba,GA,-2.65,10.0,79.0,83,100,4.74,1616150879
105,Cabo San Lucas,MX,22.8909,-109.9124,57.0,57,0,3.94,1616150704
106,Dingle,PH,10.9995,122.6711,80.11,77,48,6.55,1616150754
107,Skoghall,SE,59.3232,13.4655,30.2,55,0,6.91,1616150882
108,Sinnamary,GF,5.3833,-52.95,77.07,80,86,8.1,1616150885
109,Airai,TL,-8.9266,125.4092,61.38,93,100,0.83,1616150886
110,Namtsy,RU,62.7161,129.6658,3.2,72,0,5.5,1616150888
111,Lopatino,RU,52.6195,45.8118,29.71,88,100,11.63,1616150889
112,Whitehorse,CA,60.7161,-135.0538,10.4,72,75,9.22,1616150707
113,Imbituba,BR,-28.24,-48.6703,71.6,83,40,5.75,1616150891
114,Tuatapere,NZ,-46.1333,167.6833,54.0,93,76,4.0,1616150709
115,Murgab,TM,37.4966,61.9714,64.4,52,75,11.5,1616150894
116,Broome,US,42.2506,-75.833,24.01,53,1,20.71,1616150895
117,Ilulissat,GL,69.2167,-51.1,17.6,53,99,21.85,1616150898
118,Beba,CU,22.4437,-79.7253,68.0,94,1,1.14,1616150899
119,Keelung,TW,25.1283,121.7419,77.0,73,75,2.3,1616150900
120,Passira,BR,-7.995,-35.5806,80.31,66,57,8.12,1616150902
121,Zhigalovo,RU,54.8097,105.1578,20.03,90,100,4.83,1616150903
122,Viedma,AR,-40.8135,-62.9967,56.5,51,0,14.9,1616150904
123,Oktyabr'skoye,RU,43.0645,44.7417,55.4,41,38,13.42,1616150906
124,Lianran,CN,24.9227,102.485,81.0,13,0,20.13,1616150907
125,Kenai,US,60.5544,-151.2583,6.8,72,1,5.75,1616150746
126,Isakly,RU,54.1333,51.5333,32.04,95,100,13.27,1616150909
127,Road Town,VG,18.4167,-64.6167,75.99,86,4,5.99,1616150911
128,Severo-Kuril'sk,RU,50.6789,156.125,29.41,93,98,13.04,1616150912
129,Hvide Sande,DK,56.0045,8.1294,39.99,87,40,13.8,1616150914
130,Penzance,GB,50.1186,-5.5371,51.8,87,20,20.71,1616150915
131,Muş Province,TR,39.0,41.75,46.4,42,40,14.97,1616150676
132,Bay Roberts,CA,47.5999,-53.2648,41.0,94,100,5.99,1616150918
133,Ratnagiri,IN,16.9833,73.3,88.09,45,62,15.97,1616150695
134,Thompson,CA,55.7435,-97.8558,26.6,74,1,2.3,1616150833
135,Hohhot,CN,40.8106,111.6522,41.0,48,40,11.18,1616150922
136,Los Llanos de Aridane,ES,28.6585,-17.9182,68.0,68,20,13.8,1616150923
137,Cetăţeni,RO,45.2,25.1833,39.0,89,99,5.53,1616150925
138,Meadow Lake,US,34.8014,-106.5436,43.0,45,1,6.91,1616150706
139,Port Hardy,CA,50.6996,-127.4199,46.4,93,90,12.66,1616150707
140,Tingi,TZ,-11.3,35.0333,74.77,82,79,1.59,1616150928
141,Coahuayana Viejo,MX,18.7333,-103.6833,66.18,73,0,2.71,1616150718
142,New Norfolk,AU,-42.7826,147.0587,61.0,63,0,1.81,1616150933
143,Dunedin,NZ,-45.8742,170.5036,55.99,71,63,1.99,1616150807
144,Qiongshan,CN,20.0058,110.3542,82.4,65,20,11.18,1616150935
145,Mar del Plata,AR,-38.0023,-57.5575,55.99,84,0,3.0,1616150937
146,Buckeye,US,33.3703,-112.5838,57.0,37,1,5.75,1616150701
147,Bethel,US,41.3712,-73.414,30.2,43,1,9.22,1616150939
148,Ajdabiya,LY,30.7554,20.2263,77.41,18,88,26.91,1616150940
149,Saint Anthony,US,45.0205,-93.218,32.0,74,1,4.88,1616150942
150,Sehore,IN,23.2,77.0833,73.92,49,71,17.27,1616150943
151,Narsaq,GL,60.9167,-46.05,21.2,49,48,9.22,1616150944
152,Bato,PH,13.3528,123.3677,78.28,88,87,3.27,1616150946
153,Iqaluit,CA,63.7506,-68.5145,-22.0,69,20,16.11,1616150948
154,Peleduy,RU,59.6289,112.7406,22.32,93,100,9.1,1616150950
155,Simões,BR,-7.5989,-40.8178,74.52,82,74,4.88,1616150951
156,Tuktoyaktuk,CA,69.4541,-133.0374,-17.07,100,99,9.53,1616150952
157,Kalianget,ID,-7.05,113.9333,82.36,81,2,11.59,1616150953
158,Te Anau,NZ,-45.4167,167.7167,45.99,95,7,2.86,1616150955
159,Kāvali,IN,14.9167,79.9833,87.22,41,93,11.32,1616150956
160,At-Bashi,KG,41.1702,75.8106,33.94,69,0,0.43,1616150957
161,Strezhevoy,RU,60.7333,77.5889,33.8,44,0,13.42,1616150960
162,Otumba,MX,19.7,-98.75,48.2,66,1,3.44,1616150961
163,Bhatkal,IN,13.9667,74.5667,86.76,65,5,11.9,1616150963
164,Olafsvik,IS,64.8945,-23.7142,42.66,96,100,11.86,1616150843
165,Urengoy,RU,65.9667,78.3667,1.58,92,98,10.85,1616150965
166,Saku,JP,36.2167,138.4833,39.99,77,3,1.01,1616150966
167,Belmonte,BR,-15.8631,-38.8828,73.4,94,40,3.44,1616150968
168,Benghazi,LY,32.1167,20.0667,71.35,36,79,19.19,1616150965
169,Auki,SB,-8.7676,160.7034,78.96,83,92,3.22,1616150970
170,Kruisfontein,ZA,-34.0033,24.7314,72.0,70,42,5.99,1616150972
171,Terra Santa,BR,-2.1042,-56.4869,72.5,97,100,1.3,1616150973
172,Naze,JP,28.3667,129.4833,69.8,88,40,3.44,1616150692
173,Isa Khel,AF,36.6702,68.8443,76.78,27,88,13.24,1616150975
174,Indian Head,US,38.6001,-77.1622,44.6,65,90,8.05,1616150977
175,Torbay,CA,47.6666,-52.7314,39.0,93,90,27.63,1616150978
176,Teya,RU,60.3778,92.6267,25.95,88,100,14.79,1616150979
177,Mayo,US,38.8876,-76.5119,42.8,70,90,16.11,1616150981
178,Tiksi,RU,71.6872,128.8694,-3.55,96,100,3.76,1616150982
179,Springdale,US,36.1867,-94.1288,39.2,81,1,9.22,1616150983
180,Carmo do Paranaíba,BR,-19.0008,-46.3161,69.01,100,39,3.13,1616150985
181,Aklavik,CA,68.2191,-135.0107,-13.0,77,99,5.75,1616150789
182,São Filipe,CV,14.8961,-24.4956,73.09,68,20,5.57,1616150845
183,Lázaro Cárdenas,MX,17.9583,-102.2,69.67,76,0,4.99,1616150989
184,Daru,PG,-9.0763,143.2092,78.71,85,100,6.6,1616150991
185,Tasiilaq,GL,65.6145,-37.6368,28.4,74,76,3.44,1616150992
186,Carnarvon,AU,-24.8667,113.6333,86.0,54,0,11.5,1616150993
187,Akhnūr,IN,32.8667,74.7333,87.8,27,87,9.22,1616150995
188,Måløy,NO,61.9353,5.1136,46.0,87,75,4.61,1616150996
189,Altar,MX,30.7,-111.8167,54.12,44,0,0.96,1616150997
190,Ribeira Grande,PT,38.5167,-28.7,60.8,88,40,12.66,1616150999
191,Loandjili,CG,-4.7561,11.8578,77.0,88,75,16.11,1616151000
192,Dikson,RU,73.5069,80.5464,-30.5,93,0,8.77,1616151001
193,Solotcha,RU,54.7917,39.8442,37.0,60,91,7.14,1616151003
194,Ulaangom,MN,49.9811,92.0667,15.44,95,95,4.34,1616151004
195,Upernavik,GL,72.7868,-56.1549,1.9,79,92,3.85,1616151006
196,Manokwari,ID,-0.8667,134.0833,79.72,78,40,0.56,1616151007
197,Tessalit,ML,20.1986,1.0114,85.82,9,0,6.98,1616151008
198,San Cristobal,VE,7.7669,-72.225,64.51,92,79,1.25,1616151010
199,Birjand,IR,32.8663,59.2211,82.4,9,40,21.85,1616151011
200,Puerto Colombia,CO,10.9878,-74.9547,77.0,88,75,6.91,1616151012
201,Pisco,PE,-13.7,-76.2167,68.0,77,100,2.3,1616151014
202,Okha,RU,53.5739,142.9478,12.22,89,1,11.14,1616151015
203,Linhai,CN,28.85,121.1167,64.0,75,93,2.35,1616151016
204,Ambon City,ID,-3.6954,128.1814,80.6,83,20,2.3,1616151018
205,Barrow,US,71.2906,-156.7887,-2.2,71,90,3.44,1616151020
206,Grão Mogol,BR,-16.5594,-42.8897,66.42,92,86,4.74,1616151023
207,Swellendam,ZA,-34.0226,20.4417,71.6,46,94,8.05,1616151024
208,Faanui,PF,-16.4833,-151.75,82.0,67,1,7.2,1616151025
209,Malinovoye Ozero,RU,51.6753,79.7825,29.43,75,26,12.06,1616151027
210,Mouila,GA,-1.8685,11.0559,76.53,92,100,1.32,1616151028
211,Abbeville,FR,50.1,1.8333,45.0,69,1,16.46,1616151029
212,Kwang Binh,VN,17.4833,106.6,75.7,90,26,10.76,1616151031
213,Ngunguru,NZ,-35.6167,174.5,60.01,85,35,1.01,1616151033
214,Kollam,IN,8.8833,76.6,89.6,58,75,5.75,1616151034
215,Bathsheba,BB,13.2167,-59.5167,75.2,69,40,14.97,1616151036
216,Natal,BR,-5.795,-35.2094,80.6,83,40,8.05,1616150770
217,Presidencia Roque Sáenz Peña,AR,-26.7852,-60.4388,64.99,80,0,4.0,1616151038
218,San-Pédro,CI,4.7485,-6.6363,85.68,62,100,5.23,1616151039
219,Cidreira,BR,-30.1811,-50.2056,71.74,74,47,6.15,1616151041
220,Sabzawār,IR,36.2126,57.6819,73.4,28,40,13.8,1616151042
221,Aksarka,RU,66.5606,67.7975,-8.45,94,86,14.23,1616151043
222,Pacific Grove,US,36.6177,-121.9166,55.4,94,90,4.61,1616151045
223,Laas,IT,46.6166,10.7002,46.0,54,40,8.05,1616151046
224,Angoram,PG,-4.0625,144.0661,76.46,90,93,1.9,1616151048
225,Vinh,VN,18.6667,105.6667,75.85,87,23,10.56,1616150948
226,Assiut,EG,27.181,31.1837,73.4,33,0,11.5,1616151051
227,Garoowe,SO,8.4054,48.4845,93.61,21,20,8.19,1616151052
228,Hirara,JP,24.8,125.2833,71.6,83,20,5.75,1616151054
229,Kuytun,RU,54.3419,101.5036,18.88,87,94,4.74,1616151055
230,Macao,MO,22.2006,113.5461,77.0,94,20,8.05,1616151056
231,Kulhudhuffushi,MV,6.6221,73.07,83.17,66,36,6.24,1616151058
232,North Mankato,US,44.1733,-94.0339,30.2,69,1,5.75,1616151059
233,Brigantine,US,39.4101,-74.3646,36.0,80,90,16.11,1616151060
234,Nelson Bay,AU,-32.7167,152.15,69.8,94,75,17.27,1616151062
235,Oranjemund,NA,-28.55,16.4333,69.62,60,4,18.9,1616151063
236,Pangnirtung,CA,66.1451,-65.7125,-15.66,68,0,3.6,1616151064
237,Katete,UG,-0.7818,29.7544,82.26,39,73,5.12,1616151066
238,Belle Fourche,US,44.6714,-103.8522,37.0,80,1,5.75,1616151067
239,George,ZA,-33.963,22.4617,66.2,82,75,10.36,1616150894
240,Vao,NC,-22.6667,167.4833,76.35,78,98,22.26,1616150815
241,Otane,NZ,-39.8833,176.6333,61.0,72,20,3.0,1616151071
242,Puerto Carreño,CO,6.189,-67.4859,76.42,65,67,13.06,1616151072
243,Hambantota,LK,6.1241,81.1185,80.6,94,90,4.61,1616151073
244,Kahului,US,20.8947,-156.47,73.4,68,8,14.34,1616151075
245,Kurumkan,RU,54.3,110.3,13.33,80,37,6.53,1616151076
246,Riberalta,BO,-10.9833,-66.1,71.6,100,75,1.59,1616151077
247,Taltal,CL,-25.4,-70.4833,64.26,85,95,1.68,1616151079
248,Carballo,ES,43.213,-8.691,53.6,71,40,10.36,1616151080
249,Vila Velha,BR,-20.3297,-40.2925,79.0,88,20,1.14,1616150798
